Feature,Importance
MonthlyIncome,0.08264584228422718
Age,0.06771933304019613
TotalWorkingYears,0.06152585786829876
YearsAtCompany,0.05701326332757904
OverTime_Yes,0.056949758618819964
YearsWithCurrManager,0.050382411109915086
DailyRate,0.04790566141082044
DistanceFromHome,0.04159318061582795
HourlyRate,0.03788798814682969
MonthlyRate,0.037402548587724134
StockOptionLevel,0.035553584166052886
NumCompaniesWorked,0.0353914110341941
EnvironmentSatisfaction,0.030396937802788748
YearsInCurrentRole,0.030174148646186054
PercentSalaryHike,0.02916177900121946
JobLevel,0.02773937020963848
JobSatisfaction,0.025559984505124023
RelationshipSatisfaction,0.02139699572419205
YearsSinceLastPromotion,0.02026283865335759
MaritalStatus_Single,0.020004123974189703
WorkLifeBalance,0.018365437919631526
JobInvolvement,0.018208945677920137
TrainingTimesLastYear,0.01480846047140934
Education,0.014093531171615947
BusinessTravel_Travel_Frequently,0.011766309170988311
JobRole_Laboratory Technician,0.011381044482502684
Department_Research & Development,0.011130614554244961
JobRole_Sales Executive,0.010667026575800606
Department_Sales,0.010468428200507742
MaritalStatus_Married,0.009195528967247879
JobRole_Research Scientist,0.007755856177020121
Gender_Male,0.0074351888354186905
EducationField_Life Sciences,0.006241466615752779
JobRole_Sales Representative,0.005938845712567262
EducationField_Medical,0.00584591182846854
BusinessTravel_Travel_Rarely,0.005066051342580488
EducationField_Marketing,0.0036758449245814246
EducationField_Technical Degree,0.0032471099630725694
PerformanceRating,0.002175543991933066
JobRole_Manufacturing Director,0.0020744998554662543
JobRole_Manager,0.0014125357111528802
JobRole_Research Director,0.0012316686486420463
EducationField_Other,0.0006134716948459451
JobRole_Human Resources,0.0005336587794472833
